Substance,Sector,EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,Agriculture,CRI,Costa Rica,0.05342856743,0.05342856743,0.05342856743,0.05342856743,0.05342856743,0.05499999743,0.04164285415,0.06914285201,0.07228570972,0.05971428287,0.05845714201,0.05971428435,0.07228571257,0.07699999572,0.05499999652,0.06474285234,0.07259999492,0.05987142454,0.08579999469,0.09507142157,0.06568571046,0.068357135,0.07385713429,0.06599999315,0.1005714183,0.08957141858,0.125871417,0.1414285589,0.1398571294,0.1099999926,0.1194285612,0.08485713201,0.06285713372,0.04667142226,0.08606189502,0.1000476119,0.1204761791,0.1079047562,0.1222571357,0.1178571301,0.09700951324,0.2191618911,0.15064761,0.1016190444,0.1594999896,0.1664666555,0.1641618953,0.1595523706,0.2188476025,0.1894618879,0.1556761787,0.15630475,0.156939424
CO2,Agriculture,CUB,Cuba,0.4635714187,0.4635714187,0.4635714187,0.4635714187,0.4981428472,0.5264285615,0.6914285573,0.7511428293,0.7652856839,0.9742856921,0.9664285482,1.068257111,0.9126856775,0.8018999686,0.9692571179,0.9855999763,1.04452854,0.8473142491,0.7992285312,0.9811999463,0.8658571136,0.7699999773,0.6969285568,0.3677142772,0.2545714195,0.245666655,0.2713333242,0.3263333165,0.2854761771,0.1988904707,0.2208380891,0.09114284252,0.05814284749,0.02488094961,0.02702856674,0.1242476148,0.17191428,0.1395428534,0.1051285618,0.1090571338,0.1084809418,0.125190463,0.12697142,0.1316857038,0.1646856986,0.1436285613,0.1067523729,0.1149237972,0.06097142423,0.03598571192,0.03237142766,0.03237142766,0.03237142766
CO2,Agriculture,CYP,Cyprus,0.04211428527,0.04211428527,0.04211428527,0.04211428527,0.01099999995,0.04022857098,0.02828571372,0.01382857086,0.01052857089,0.009585713917,0.00817142823,0.00817142823,0.00817142823,0.0135142852,0.01414285669,0.0136714282,0.01304285672,0.01712857089,0.01587142809,0.01602857103,0.0158714282,0.01571428543,0.01979999966,0.01665714257,0.01618571397,0.01524285689,0.01681428546,0.01162857126,0.01304285694,0.01367142837,0.01068571412,0.01021428557,0.009585714144,0.01037142846,0.01178571414,0.006285714287,0.009114285544,0.00460952381,0.0056571428,0.004085714115,0.005499999858,0.006128571172,0.006757142601,0.003142856858,0.0054999994,0.004085713943,0.004557142486,0.0036142854,0.005814285343,0.003299999629,0.005028570971,0.005154285234,0.00528628521
CO2,Agriculture,CZE,Czechia,0.6864179585,0.6864179585,0.6864179585,0.6864179585,0.5743724385,0.5979381886,0.6240701721,0.6490002682,0.7318408873,0.7388445737,0.81449252,0.787958182,0.7587456237,0.7876036973,0.7750748707,0.7535013093,0.5820987751,0.4036694072,0.558474948,0.6154165464,0.5245554716,0.2318460376,0.2176469539,0.2122612921,0.1351428533,0.1747952294,0.2559856989,0.2124047537,0.2330428484,0.1958523706,0.2885666581,0.3008237955,0.2720666551,0.2453523682,0.2761523675,0.2330952247,0.1906666547,0.2211523668,0.1660476119,0.145095231,0.2430476019,0.2079523595,0.2021904636,0.2917618771,0.3389571113,0.2823856782,0.2824380605,0.2971571203,0.1979999773,0.1640571256,0.1454095086,0.1233660951,0.1084462838
CO2,Agriculture,DEU,Germany,1.557914273,1.557914273,1.557914273,1.557914273,1.543457134,1.330528532,1.611499911,1.620142765,1.526799905,1.593271338,1.625957047,1.632714186,1.576142767,1.523971347,1.47635707,1.508571349,1.616685614,1.563728473,1.597357046,1.675142768,0.4505285158,0.5128094756,0.4483809096,0.4101428163,0.550523755,0.4583332702,0.2930713753,0.3084713725,0.3406856523,0.3636285053,0.4588570594,0.4447142049,0.4478570614,0.483999912,1.24268564,1.28511421,0.8287713433,0.8740284855,1.009171306,0.832857063,1.064328464,1.080042768,1.059876089,1.103980851,1.196904631,1.263742732,1.191980837,1.233518965,0.8856046946,0.8402427947,0.7342761413,0.6511790135,0.5935406118
CO2,Agriculture,DNK,Denmark,0.007857142115,0.007857142115,0.007857142115,0.007857142115,0.003928571401,0.007228571145,0.01084285632,0.008799999316,0.009219046706,0.00984761802,0.01314761731,0.01361904591,0.01707618813,0.01676190236,0.01372380764,0.01194285566,0.01131428446,0.01414285549,0.01445714137,0.02430475928,0.02713333122,0.02383333148,0.02514285486,0.02985713972,0.03247618762,0.06966666524,0.09480952296,0.1120952375,0.1152380947,0.1152380947,0.1283333331,0.09480952353,0.06966666524,0.08223809382,0.06809523639,0.06809523582,0.05856189991,0.05636190191,0.05185714144,0.1099999943,0.06966666639,0.06652380925,0.06023809496,0.05080952353,0.05945238071,0.07176190449,0.05625714258,0.0755857141,0.07369999982,0.1091619047,0.05547142844,0.05531428561,0.05792285706
CO2,Agriculture,DOM,Dominican Republic,0.1269714257,0.1269714257,0.1269714257,0.1269714257,0.08815714177,0.1248238068,0.09161428525,0.1279142833,0.1032428545,0.1150285686,0.1084285689,0.1115714255,0.1141904731,0.101147616,0.1192714253,0.1190619009,0.1179619016,0.1311619016,0.09727142588,0.1418476148,0.1301142776,0.1639523733,0.1299047554,0.1185904697,0.1317904687,0.1545238024,0.1759999932,0.1838047536,0.1691904685,0.1621190388,0.1333618954,0.1847999906,0.1753714192,0.150595231,0.1691380879,0.1307428503,0.1846952288,0.1071190402,0.1418476118,0.188938083,0.1877333246,0.143890467,0.1788285617,0.1383904686,0.1902999909,0.1671999904,0.184852371,0.1684571334,0.1884142726,0.183647608,0.2077428441,0.211514272,0.2154841961
CO2,Agriculture,DZA,Algeria,0.2212571423,0.2212571423,0.2212571423,0.2212571423,0.1653142852,0.1718619047,0.1840666667,0.1798761905,0.1675142857,0.1645809524,0.2233523802,0.1658380952,0.1300095238,0.1420571429,0.2294285714,0.2388571429,0.2610666667,0.2159142857,0.1254,0.1015142857,0.1382857143,0.08485714286,0.08957142857,0.1618571429,0.1150285714,0.01917142857,0.02985714286,0.03142857143,0.0902,0.08412380867,0.07815238038,0.07815238038,0.1140857134,0.1115714277,0.03614285057,0.03378570929,0.03928571172,0.03142856915,0.01728571229,0.02734285229,0.05950475208,0.06699522824,0.08433332048,0.110995234,0.1891476034,0.2106761729,0.1750571258,0.1441523712,0.233304742,0.1803999776,0.1613333191,0.1576876054,0.1542110529
CO2,Agriculture,ECU,Ecuador,0.05300951799,0.05300951799,0.05300951799,0.05300951799,0.06154761492,0.02624285523,0.1004666546,0.1157095093,0.07218094227,0.07998570318,0.0701380855,0.057828564,0.04866189748,0.07768094218,0.07228570515,0.06804284729,0.04913332619,0.04174761302,0.05400475491,0.07322855994,0.06254284795,0.07176189362,0.09067141998,0.08799998915,0.08747617991,0.1005714154,0.1131428423,0.1619618863,0.1489190267,0.1278095108,0.1166523657,0.173276171,0.2126666375,0.2089475897,0.2502761591,0.08328570377,0.1887809302,0.2333047363,0.2295333046,0.1808190223,0.1926047326,0.2587094941,0.2738999676,0.3082618692,0.3554571075,0.3567666261,0.5427190014,0.388352349,0.4781332875,0.425595202,0.4766142489,0.5005837734,0.5274955128
CO2,Agriculture,EGY,Egypt,0.8257856798,0.8257856798,0.8257856798,0.8257856798,0.8328571087,0.7511428275,0.8182428248,0.862242821,0.9507142387,1.351742809,1.446657081,1.368399921,1.426542771,1.365885619,1.343571332,1.398571327,1.969314163,1.915571308,1.988957032,1.966014172,1.928614185,2.033428472,1.863714185,2.093142752,1.868114198,2.624285597,2.46918558,2.372857029,2.511142714,2.315028422,2.613285546,2.748428375,2.651942664,2.512242622,3.037728325,2.944856916,2.667395005,2.466671222,2.462637882,2.659275991,2.556347404,2.592856917,2.120642636,2.249237873,2.264952152,2.48411404,2.701390212,2.793685452,2.948680707,2.736956904,2.798033069,2.918348232,2.972686639
